"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","psychophysics","350","811512","0.0-16.0-0.0-0.6","1067","","d","","","","","","","","","","","","","key","d","16.648821138210852","960","536","d","true","img/C_28.png","自我","prac_friend","","自我"
"","","","","","html-keyboard-response","351","811814","0.0-16.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","352","814116","0.0-16.0-0.0-0.7","1301","","d","","","","","","","","","","","","","key","d","16.64926277372279","960","536","d","true","img/H_28.png","生人","prac_friend","","生人"
"","","","","","html-keyboard-response","353","814417","0.0-16.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","354","816518","0.0-16.0-0.0-0.8","1099","","f","","","","","","","","","","","","","key","f","16.64995999999996","960","536","j","false","img/S_28.png","自我","prac_friend","","朋友"
"","","","","","html-keyboard-response","355","816820","0.0-16.0-0.0-1.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","356","819145","0.0-16.0-0.0-0.9","1322","","d","","","","","","","","","","","","","key","d","16.650347826087113","960","536","d","true","img/H_28.png","生人","prac_friend","","生人"
"","","","","","html-keyboard-response","357","819447","0.0-16.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","358","821589","0.0-16.0-0.0-0.10","1141","","d","","","","","","","","","","","","","key","d","16.64959375000035","960","536","k","false","img/S_28.png","朋友","prac_friend","","朋友"
"","","","","","html-keyboard-response","359","821891","0.0-16.0-0.0-1.10","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","360","824179","0.0-16.0-0.0-0.11","1287","","d","","","","","","","","","","","","","key","d","16.64963503649635","960","536","f","false","img/H_28.png","自我","prac_friend","","生人"
"","","","","","html-keyboard-response","361","824481","0.0-16.0-0.0-1.11","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","362","826807","0.0-16.0-0.0-0.12","1323","","f","","","","","","","","","","","","","key","f","16.649586956521187","960","536","d","false","img/H_28.png","生人","prac_friend","","生人"
"","","","","","html-keyboard-response","363","827107","0.0-16.0-0.0-1.12","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","364","829338","0.0-16.0-0.0-0.13","1230","","j","","","","","","","","","","","","","key","j","16.64793939393977","960","536","j","true","img/S_28.png","自我","prac_friend","","朋友"
"","","","","","html-keyboard-response","365","829640","0.0-16.0-0.0-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","366","831743","0.0-16.0-0.0-0.14","1100","","d","","","","","","","","","","","","","key","d","16.64901599999983","960","536","f","false","img/H_28.png","自我","prac_friend","","生人"
"","","","","","html-keyboard-response","367","832044","0.0-16.0-0.0-1.14","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","368","834367","0.0-16.0-0.0-0.15","1322","","d","","","","","","","","","","","","","key","d","16.649666666666526","960","536","d","true","img/C_28.png","自我","prac_friend","","自我"
"","","","","","html-keyboard-response","369","834668","0.0-16.0-0.0-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","370","836473","0.0-16.0-0.0-0.16","803","","d","","","","","","","","","","","","","key","d","16.64952336448554","960","536","d","true","img/C_28.png","自我","prac_friend","","自我"
"","","","","","html-keyboard-response","371","836774","0.0-16.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","372","838441","0.0-16.0-0.0-0.17","666","","k","","","","","","","","","","","","","key","k","16.649909090908064","960","536","k","true","img/S_28.png","朋友","prac_friend","","朋友"
